Date,Sales
2018-01-01,10166
2018-01-02,9997
2018-01-03,10255
2018-01-04,10540
2018-01-05,10035
2018-01-06,10557
2018-01-07,11123
2018-01-08,10402
2018-01-09,10053
2018-01-10,10378
2018-01-11,10099
2018-01-12,10120
2018-01-13,10854
2018-01-14,10229
2018-01-15,9807
2018-01-16,10178
2018-01-17,10064
2018-01-18,10483
2018-01-19,10138
2018-01-20,10508
2018-01-21,11393
2018-01-22,10406
2018-01-23,10515
2018-01-24,10088
2018-01-25,10373
2018-01-26,10590
2018-01-27,10732
2018-01-28,11210
2018-01-29,10438
2018-01-30,10550
2018-01-31,10477
2018-02-01,11233
2018-02-02,10693
2018-02-03,10899
2018-02-04,11483
2018-02-05,10389
2018-02-06,10837
2018-02-07,10205
2018-02-08,10413
2018-02-09,10889
2018-02-10,11569
2018-02-11,11417
2018-02-12,10849
2018-02-13,10811
2018-02-14,10475
2018-02-15,10720
2018-02-16,10815
2018-02-17,11787
2018-02-18,11589
2018-02-19,10474
2018-02-20,11116
2018-02-21,10919
2018-02-22,10847
2018-02-23,11249
2018-02-24,11890
2018-02-25,11875
2018-02-26,10859
2018-02-27,11032
2018-02-28,11238
2018-03-01,11446
2018-03-02,11023
2018-03-03,11624
2018-03-04,11361
2018-03-05,10847
2018-03-06,11463
2018-03-07,11638
2018-03-08,11222
2018-03-09,11556
2018-03-10,11875
2018-03-11,11585
2018-03-12,11397
2018-03-13,11761
2018-03-14,11300
2018-03-15,11790
2018-03-16,10544
2018-03-17,12087
2018-03-18,11875
2018-03-19,11269
2018-03-20,11395
2018-03-21,10779
2018-03-22,11318
2018-03-23,11499
2018-03-24,12343
2018-03-25,11751
2018-03-26,11171
2018-03-27,11270
2018-03-28,11701
2018-03-29,11532
2018-03-30,11280
2018-03-31,12098
2018-04-01,11979
2018-04-02,11745
2018-04-03,11248
2018-04-04,11365
2018-04-05,11350
2018-04-06,11032
2018-04-07,12064
2018-04-08,12056
2018-04-09,11482
2018-04-10,11413
2018-04-11,11061
2018-04-12,11361
2018-04-13,11387
2018-04-14,11750
2018-04-15,11944
2018-04-16,11614
2018-04-17,12059
2018-04-18,11546
2018-04-19,11571
2018-04-20,11471
2018-04-21,11417
2018-04-22,11984
2018-04-23,11509
2018-04-24,12228
2018-04-25,11430
2018-04-26,11576
2018-04-27,11473
2018-04-28,11630
2018-04-29,12321
2018-04-30,11701
2018-05-01,11709
2018-05-02,11196
2018-05-03,11885
2018-05-04,11040
2018-05-05,12132
2018-05-06,12609
2018-05-07,11150
2018-05-08,11272
2018-05-09,11466
2018-05-10,11280
2018-05-11,10960
2018-05-12,11940
2018-05-13,11595
2018-05-14,11549
2018-05-15,11124
2018-05-16,11858
2018-05-17,11151
2018-05-18,11282
2018-05-19,12116
2018-05-20,11495
2018-05-21,11424
2018-05-22,11740
2018-05-23,10857
2018-05-24,11387
2018-05-25,11400
2018-05-26,12048
2018-05-27,11434
2018-05-28,10899
2018-05-29,11443
2018-05-30,11366
2018-05-31,11342
2018-06-01,11361
2018-06-02,11543
2018-06-03,11807
2018-06-04,11315
2018-06-05,11002
2018-06-06,11766
2018-06-07,11338
2018-06-08,10827
2018-06-09,11871
2018-06-10,11371
2018-06-11,11388
2018-06-12,11488
2018-06-13,10883
2018-06-14,11407
2018-06-15,11230
2018-06-16,11842
2018-06-17,12152
2018-06-18,10998
2018-06-19,10834
2018-06-20,10781
2018-06-21,10792
2018-06-22,11001
2018-06-23,11615
2018-06-24,11583
2018-06-25,11236
